Date,Username,Tweet
2023-01-24 09:05:48+00:00,IBTimesID,"Filsafat punya peran penting dalam segala bidang keilmuan. Termasuk di bidang pendidikan Islam.

Mungkin dari segi metode pembelajarannya dan masih banyak peran yang lain.☺️

@PendisKemenag 
@pojokpendidikan 

See-
https://t.co/cFfzr4Ukp2"
2023-01-24 03:09:00+00:00,PendisKemenag,"Menag Resmikan Enam Madrasah Digital Moderat

https://t.co/CRDjhJuaCT"
2023-01-24 02:16:36+00:00,Mtsn2Kudus,"@kemenag.jateng
@kemenag_ri
@mtsnduakudus
@pendidikanislam
@pendidikanmadrasah 
@pendis
@pendiskemenag https://t.co/1HZ8XhJCuU"
2023-01-24 01:52:39+00:00,Mtsn2Kudus,"@kemenag.jateng
@kemenag_ri
@mtsnduakudus
@pendidikanislam
@pendidikanmadrasah 
@pendis
@pendiskemenag"
2023-01-23 00:45:01+00:00,Jumono48706624,@PendisKemenag assalamualaikum
2023-01-22 12:18:00+00:00,PendisKemenag,"Dengan Moderasi Beragama, PAI Dinilai Lebih Maju dari Mapel Lain

https://t.co/XzjYUyyrZg"
2023-01-22 11:17:00+00:00,PendisKemenag,"Serial Moderasi Beragama pada Sekolah: Mengembangkan Toleransi Beragama di Sekolah

https://t.co/C3trzjx6d2"
2023-01-22 06:16:00+00:00,PendisKemenag,"MTsN 8 Ngawi Juarai Pencak Silat Bandung Lautan Api Internasional Championship IV

https://t.co/Hri5WV1ZuO"
2023-01-22 04:15:30+00:00,PendisKemenag,"Bimtek Konvensi Hak Anak (KHA) dan Satuan Pendidikan Ramah Anak (SRA), Menuju Madrasah Ramah Anak

https://t.co/PfpzFPESm3"
2023-01-22 03:12:52+00:00,PendisKemenag,"MTsN 2 Balikpapan Go Internasional melalui SOS4Love PBB

https://t.co/PBbqonF4UF"
2023-01-20 13:59:30+00:00,PendisKemenag,"Mahasiswi PBSB Lulusan Termuda dan Terbaik Pada Pelantikan dan Pengambilan Sumpah Dokter XLIII UIN Jakarta

https://t.co/ZO16CEM6W5"
