Date,Username,Tweet,label
2023-03-07 02:32:59+00:00,handrisontea,@RelawanNusanta1 @bwinarso99 @pertamina Eh tolol...liat lagi peta depo tahun 1980an...ada tuh,2
2023-03-07 02:32:59+00:00,baserealnews,@binatangjalang0 iya karena kawasannya berbahaya. Pertamina atau masyarakatnya harus direlokasi,2
2023-03-07 02:32:59+00:00,NoviRoose,"Ganjar menyampaikan belasungkawa atas kejadian kebakaran di Depo Pertamina Plumlang.
#GanjarBuatRIMakinKuatMaju https://t.co/lBbyxPiDhq",1
2023-03-07 02:32:58+00:00,Adi_Interisti89,"Gubernur Jawa Tengah Ganjar pranowo Turut berduka cita atas insiden kebakaran Pertamina Plumpang. 
#GanjarBuatRIMakinKuatMaju https://t.co/HiVKM505Cp",1
2023-03-07 02:32:50+00:00,nvroost,"Ganjar menyampaikan belasungkawa atas kejadian kebakaran di Depo Pertamina Plumlang.

#GanjarBuatRIMakinKuatMaju https://t.co/dkc6RbK7gR",1
2023-03-07 02:32:44+00:00,denikurangajar,@andyydepp @aripurwanta99 @CNNIndonesia Info valid berita nya bro kalau pertamina kalah di tahun 1990an?,2
2023-03-07 02:32:44+00:00,BSikarda,"Iya betul bahwa, PBNU mengapresiasi gerak cepat Kasad Dudung AR yang meninjau langsung lokasi kebakaran Depo Pertamina Plumpang, Jakarta Utara.

@Ngopibareng_DAR

TNI AD Di Hati Rakyat
KSAD Dudung Abdurachman https://t.co/uflZWEAYrT",1
2023-03-07 02:32:37+00:00,aicoment,"@m_saligia @abu_waras Nah anda yg ngaco jelas2x tahun 1960 masyarakat tanah merah menang ""Tahun 90-an pernah digusur oleh Pemprov DKI Jakarta, nah saat itu masyarakat menuntut ke pengadilan dan menang,"" kata Huda. Tolong kasih bukti itu tanah pertamina?",2
2023-03-07 02:32:11+00:00,Rosses1Black,Merasa aneh aja klo Pertamina pemilik awal yg harus ngalah pindah 🤣🤣🤣🤣,2
2023-03-07 02:32:02+00:00,prampeakk,"@Relawananies Bkn hnya propaganda blok. tp salah jadi faktor knp bnyak korban. Andai anies gak beri kontrak politik yg isinya melegalkan lahan ILLEGAL yg bersengketa dgn pertamina, sekaligus anies merelokasi warga tanah merah sprti yg di ucap ahok, mungki",2
2023-03-07 02:31:55+00:00,AwangSancaka,@hotradero korban meninggal itu karyawan pertamina atau warga? meninggal di lokasi depo atau di luarnya?,1
2023-03-07 02:31:43+00:00,musaKSQ,Orang2 elite pertamina kulit mukanya tebel-tebel oiy,2
2023-03-07 02:31:38+00:00,geloraco,"Ternyata Dirut Pertamina Nicke Widyawati Lebih Kaya dari Rafael Alun Trisambodo Mantan Dirjen Pajak Kemenkeu
https://t.co/BzXoOKJHxx",1
