Date,Username,Tweet,label
2023-02-15 23:45:11+00:00,NasionalPakin,dpn pakin terima buku moderasi agama karya lukman hakim saifuddin dpnpakin pemudaagamakhonghucuindonesia moderasiberagama,1
2023-02-15 23:42:01+00:00,NasionalPakin,dpn pakin terima buku moderasi agama karya lukman hakim saifuddin dpnpakin pemudaagamakhonghucuindonesia moderasiberagama,1
2023-02-15 23:24:40+00:00,Kemenag_Maluku,haji kemenagri gusmen kemenagmaluku moderasiberagama yaminkemenagmaluku,0
2023-02-15 22:38:39+00:00,umi_acuh,kondisi parah sistem didik sekuler arus moderasi agama tidak agama kaffah akibat generasi syariat islam kaffah takut cap radikal toleran yukgaulsyari generasibutuhislamkaffah,-1
2023-02-15 15:42:59+00:00,bimaskristenri,salam sahabatreligi launching seleksi nasional terima mahasiswa pmb guru agama kristen negeri kemenagri ditjenbimaskristenkemenagri tahuntoleransi moderasiberagama akhlak iaknpalangkaraya,0
2023-02-15 14:48:04+00:00,Inisiatifnews,wapres dorong kampus libat turun stunting kuat moderasi agama,1
2023-02-15 13:37:17+00:00,bimas_buddha,ketua sagin bhikkhu khemacaro mahathera hadir letak batu wihara buddhayana buddhis center kabupaten kabupaten kuta kartanegara rabu ditjenbimasbuddha kemenagri moderasiberagama,0
2023-02-15 13:34:40+00:00,bimaskristenri,salam sahabatreligi menteri agama ri yaqut cholil qoumas lantik jabat eselon ii lingkung menteri agama ri rabu february kemenagri ditjenbimaskristenkemenagri tahuntoleransi moderasiberagama akhlak,0
2023-02-15 12:35:20+00:00,bimas_buddha,bupati kuta kartanegara edi damansyah hadir letak batu wihara buddhayana buddhis center sambut apresiasi bangun wihara budayana rabu ditjenbimasbuddha kemenagri moderasiberagama,0
2023-02-15 12:09:55+00:00,bimas_buddha,hadir letak batu wihara buddhayana buddhis center kabupaten kabupaten kuta kartanegara dirjen bimas buddha supriyadi serah bantu bangun rp rabu ditjenbimasbuddha kemenagri moderasiberagama,0
2023-02-15 12:08:50+00:00,ebe_ganzo, selamat malam sahabat dumay ku  kilas baca buku moderasi agama karya bpk bagus baca anak negeri terhusus politis usung politik indentitas mesan via wa non gratis yo ,1
2023-02-15 11:41:43+00:00,bimas_buddha,hadir leta batu wihara buddhayana buddhis center supriyadi harap umat buddha kuta kartanegara wujud bangun wihara tenggarong ditjenbimasbuddha kemenagri moderasiberagama,0
2023-02-15 09:02:31+00:00,bukupembaharu,masyarakat multikultural indonesia moderasi agama pilih harus moderasi temu jawab buku,0
2023-02-15 08:09:14+00:00,BimasIslam,kakanwil sumbar moderasi agama kompas bangun budaya lengkap,0
2023-02-15 06:03:57+00:00,ybaindonesia,putra mahkota istri pangeran siddharta ya buddhism buddha buddhayana buddhist buddhateachings buddhaquotes dhamma dhammapada moderasiberagama toleran toleransi toleransiberagama buddhisttemple buddhapedia,0
2023-02-15 05:40:38+00:00,identity_muslim,kondisi parah sistem didik sekuler arus moderasi agama tidak agama kaffah akibat generasi syariat islam kaffah takut cap radikal toleran yukgaulsyari generasibutuhislamkaffah,-1
2023-02-15 04:19:46+00:00,binsarhutabar13,moderasi agama toleransi ragam agamaagama,0
2023-02-15 04:19:22+00:00,binsarhutabar13,moderasi agama serang bebas agama,0
2023-02-15 04:02:42+00:00,Kemenag_Yogya,kuat moderasi agama guru seksi dikmad hadir tim densus,0
2023-02-15 02:57:12+00:00,al_wasath,mukmin kuat cinta allah mukmin lemah baik hr muslim quotesalwash motivasi katakatabijak muhammadiyah ikhtiartiadahenti salammoderasi moderasiberagama moderasiberagamamenujuindonesiamaju,1
2023-02-15 02:55:56+00:00,KangShod,moderasi agama yes yes yesss moderasiberagama gemafkub fkub bakengbangpol rembang pemuda agam umatberagama,1
2023-02-15 02:13:48+00:00,Kemenag_Yogya,kepala nadhif msi buka kuat moderasi agama guru kepala awas harap ragam rekat retak,1
2023-02-15 01:35:22+00:00,sdmuh1solo,kuat moderasi agama guru sd kota surakarta,1
2023-02-14 22:54:33+00:00,kfc_kakek,jalan moderasi agama canang menteri agama ri pandang ustadzah lengkap channel mmc keyword hindu magister islam,0
2023-02-14 22:41:22+00:00,IsmalijahIskan,jalan moderasi agama canang menteri agama ri pandang ustadzah lengkap channel mmc keyword hindu magister islam,0
2023-02-14 15:46:50+00:00,sipil82,moderasi agama puji tokoh pluralismemengingkari al quran,-1
2023-02-14 15:44:30+00:00,inqilabeestudyy,wakil rektor i bidang akademik kurikulum uin mataram mahasiswa nonmuslim wisuda uin mataram bukti citra islam jalan moderasi agama canang menteri agama ri,1
2023-02-14 14:35:15+00:00,penaiskemenag,profil mma provinsi jambi jalanjalan kota jambi lupa mampir sungai batanghari ayo pkpai suara moderasi toleransi siarankeagamaanislampeneranganagamaislampenaisbimasislamkemenagrimoderasiberagamamma,1
2023-02-14 12:04:02+00:00,Ayacintaku82,jalan moderasi agama canang menteri agama ri pandang ustadzah lengkap channel mmc keyword hindu magister islam,0
2023-02-14 09:13:05+00:00,UGMYogyakarta,kenal gus yahya sosok kontribusi moderasi agama,0
2023-02-14 08:49:45+00:00,Ani43907009,ya gak heran sistem demokrasi yg dosen yg kuliah jurus dirasah islamiyyah usa dosen tafsir org yahudi pt islam gencar dg moderasi agama yg jauh umat islam,-1
2023-02-14 07:44:18+00:00,Arief05952362,landas teologis moderasi agama final via,0
2023-02-14 06:10:54+00:00,MarsidiMarmo,alhamdulillah bukumoderasi beragamatelah moga berkah gus mantan menteri agama h lukman hakim saifuddin amin allahumma amin,1
