Date,Username,Tweet
2023-02-14 12:09:00+00:00,PendisKemenag,"Bank Indonesia - UIN Palu Pererat Kerjasama Melalui Beasiswa

https://t.co/IXPZfOZuP9"
2023-02-14 11:08:00+00:00,PendisKemenag,"Kemenag Komitmen Penuhi Kebutuhan Guru MAN Unggulan

https://t.co/RY2AkZr5Pf"
2023-02-14 07:06:00+00:00,PendisKemenag,"GTK Madrasah harus Memiliki Global Dexterity

https://t.co/QPFlMF5neX"
2023-02-14 05:05:00+00:00,PendisKemenag,"Ditjen Pendis Matangkan Kerjasama Program Double Degree Dengan Universitas Luar Negeri

https://t.co/hlufjxmov3"
2023-02-14 02:43:00+00:00,PendisKemenag,"Untuk Mengenalkan Perguruan TInggi, Alumni MAN 1 Grobogan Gelar Campus Expo 2023

https://t.co/MSSQAad0l3"
2023-02-14 01:42:00+00:00,PendisKemenag,"UIN Walisongo Semarang Fasilitasi 15 Ribu Pengajuan Sertifikasi Halal

https://t.co/zRTtTWj1NT"
2023-02-14 00:58:00+00:00,PendisKemenag,"Rakornas Humas: Dirjen Minta Pilih Diksi Khusus Untuk Segmen Anak Muda

https://t.co/V33EQ3p9Fv"
2023-02-14 00:41:20+00:00,PendisKemenag,"Ribuan Santri Pendidikan Diniyah Formal jenjang Menengah Pertama (Wustha) akan Ikuti Ujian Akhir

https://t.co/HNGZAeoyA8"
2023-02-13 11:11:54+00:00,iaialmuslimaceh,Rektor #IAIAlmuslimAceh secara resmi melepaskan peserta Kuliah Pengabdian Masyarakat (KPM) ke sejumlah desa yang ada di wilayah Kabupaten Bireuen dan Bener Meriah dengan semangat smart village @kemendespdtt @PendisKemenag #kampuspayalipah https://t.co/LjRGWaU0Xb
2023-02-13 09:48:00+00:00,PendisKemenag,"Direktur Pendidikan Tinggi Keagamaan Islam Lakukan Kunjungan Kerja di UIN Raden Fatah Palembang

https://t.co/yH78EoCLDm"
2023-02-13 07:47:00+00:00,PendisKemenag,"1.272 Pelajar Ramaikan SALEUM yang Diselenggarakan MAN 1 Banda Aceh

https://t.co/K0dZEwP0Aj"
2023-02-13 06:51:00+00:00,PendisKemenag,"100% CBT, Imtihan Wathani PDF Ulya Nurul Qadim Jembatani Santri Dapatkan Ijazah Formal

https://t.co/CAj4OniLYn"
2023-02-13 05:11:00+00:00,PendisKemenag,"Berlatih demokrasi, OSIS MTsN 1 Kota Gorontalo Gelar Debat Calon Ketua Osis Periode 2023 -2024

https://t.co/aFW7FgLNkI"
2023-02-13 04:46:00+00:00,PendisKemenag,"UIN Raden Intan Lampung Lahirkan Doktor Nonmuslim Pertama

https://t.co/5mfknw2iRw"
2023-02-13 02:45:00+00:00,PendisKemenag,"Capai Angka 49.241, Kemenag Akan Terus Lakukan Afirmasi pada Madrasah Swasta

https://t.co/My4Wigx84q"
2023-02-13 01:43:00+00:00,PendisKemenag,"Siswa MAN 1 Banda Aceh Ikuti Pelatnas International Economics Olympiad

https://t.co/em1RxRn2EP"
2023-02-13 01:39:07+00:00,PendisKemenag,"Penganugerahan Gelar Doktor Kehormatan (Doctor Honoris Causa)
https://t.co/X4GO1LNeF0"
