Ã¯Â»Â¿Id,Sentiment,Tweets
1.0,-1,username tolol gak hubung nya gugur dgn pake hijab syar yg lo bilang bayi nya panas dalem gak hubung nya woyyyy otak jempol lo gak singkron sih ya nulis komentar
2.0,-1,geblek lo tatacowo bgt bain balikanhadewwntar tinggal lg nyalahin tuh cowopadahal kitenya yg oon
3.0,-1,kmrn mewek skr lengket lg duhhh labil bgt sih mbak kya abege ajah ato yg kmrn cari sensasi biar top markotoppp ertong gk kualitas
4.0,-1,inti kesel att nya gausah anak kasi kembang psikis anak depan orang bener bener tolol skrg anda anak anak dikatain orang benci gimana asa benci tau batesnya nama manusia gaakan suka haters
5.0,-1,hadewwwww permpuan lgsakit jiwaknp yg jd peran utama film hantu jeruk purutky khabis stok artis ja
6.0,-1,pantesan tinggalin laki ya laki mikir kali perempuan kayagni ngurus aja gak becus gimana ngurus anak mending anak bapake nya aja bener didik
7.0,-1,biasa balajaer nyampah d ig artissuka yg ig bikin caption apakok balajaer yg heboh asik ceramahin yg igtar d bikinin lagu sm teh melly loh balajaer yg berjudulketika balajaer bersabdademi seonggak koin laknat nyabalajaer ngamuk iya banget koin laknat nya jd goda d rt nya gigiduh elah balajaer smua tau kale laku biduan lo kek apaminus segalanyalagi d bela matianpd sakit jiwa
8.0,-1,krn rakyat indonesia bodoh tdk beda yg yg buruk sdh tau prilaku buruk tdk tau sopan santun yg pilih jd panutan idola yg murah dr pd yg kelas ber etika
9.0,-1,ayu janda bego pny suami kpn nikah lagi
10.0,-1,anyiennnnggg suara ancur banget merdu tukang goreng
11.0,-1,syarat sah nikah agama islam cpp cpw saksi wali nikah mas kawinmahar perkara makeup gak manglingi syarat sah nikah gak makeup syarat yg penuh nikah sah yak emak emak julids
12.0,-1,cewek gatau nih ngerebut pacar org udh abang yg ngedukung sifat jelek lg ckck
13.0,-1,username eh situ kids jaman now ya banyak micin mna yg ngina bego pelihara
14.0,-1,jijik liat suer deh minceeee
15.0,-1,emang tabu cium gitu iya emang yg bikin eneg citra nya yg sok alim sok sok bijak sok sok yg lai anda citra sok alim sok suci serius
16.0,-1,yg jd cium dpn org bnyk yg sih malu kecuali mgkn lg mabok jd gak malu teman helooow teman tdk libat cium bibir coba aja bayangin sanggup gak cium bibir ma teman lbh dr teman dasar laku kids jaman now yg emg bego krn banyak micin lho yah
17.0,-1,anjing nya ngamukhidup dmana pny musuhudh kliatan mna yg bukanorg ga pny byk musuh
18.0,-1,username ahhh jaga ucap lahh ucap ngk jaga dasar munafik dasar betina zaman now ellu kali yangg lebih micin loe otak loe selangkang paham moga tuhan ampunin munafik loe cun
19.0,-1,username yaa ampun upil naruto cermin klo yg pecunpengalaman banget lu yaa kesi gua prihatin mati aj deh lu ngotorin dunia manusia kau
20.0,-1,cuman jual goyang yak suara taik
21.0,-1,kasi ih nyari uang sampe segitunya
22.0,-1,anjir tonton yg mutu
23.0,-1,dlu inul goyang ngebor baju ketat dcekal hrs ny ni jg dg sgja goyang dada mulu suara ga sbrpa mrsk moral ank muda yg nnton bawa nafsu aja
24.0,-1,pnyanyi dangdut yg ga kelas bgini nih bukany nonjolin suara nonjolin dada
25.0,-1,najis najis udh homo aja org kaya gin musnah muka bumi
26.0,-1,haduuh orang gak akhlak bangeg asa kerja antem mulu musuh
27.0,-1,s lonte bkn sensasi ngjak ribut org mulu sampah
28.0,-1,kayak banci dh nenek pny cucu mw operasi mua top ttp aj klo asli ny g cantik dlm
29.0,-1,bagus kalo mingkem aja hahahahahaha jahat akuuu
30.0,-1,oplas permak tetep jelek pokok muka tegang kek banci udah sekian
31.0,-1,mending liat dek molen biarpun cowok tp cuantik gak kaya cewe tp kayak bencong wkwkwk
32.0,-1,bencong rombengmenjijikangay jg
33.0,-1,orang gila ken hitz cri tenar rela penjara cari sensasi settingan beken smpe hina org astagfirullah kaya sih org kaya mulut nya ky sampahga sekolah ya
34.0,-1,cowok anjing cuihhh orang kaya koar gua orang ping kaya seduniakarena orang tau klo orang kaya orang kaya malahn perilaku orang sederhana pamer kaya dunia akhirat mampus lu harta kagak bawa mati pants buang laut lu orang anehhh
35.0,-1,cari sensasi tenar trus banya folowers nya gak gt gt jg kalee darar orang tres ngomong aja belepotan gk gt kamfungan
36.0,-1,ngomong aja belepotan gaya lu bencong
37.0,-1,orang banyak makan taik ya giniotaknya udah penuh taik jdi gak berfikir positifdari bicara aja gak bermoraldasar kaum laknat banci anjing kbanyakan burit sih lo jdi stresmanusia ogah jumpa lo anjingcuma anjing yg ketemu lo taik
38.0,-1,sikat abiss lahh orng sial kaya gin pimpin negara gak hormatin jgn mentang president sembarangin marah gak hina pimpin harap tindak hukum orng ini
39.0,-1,jijik banget lihat tingkah si upil mudah cepat tidur
40.0,-1,edan nih orang udh makan uang rakyat tidur
41.0,-1,manusia laknat mati apain ya
42.0,-1,sakit otak hati mah udah gak nurani urat malu pajak loh ngegaji orang gila hormat
43.0,-1,anak babi bangsat ken sumpel timah panas congor lu biar modar
44.0,-1,ken sumpel timah panas congor si anak babi pesek buruk rupa
45.0,-1,hey anak bangsat babi pesek buruk rupa keritingpengen penggal leher lu sampe putuslumayan makan buaya
46.0,-1,ratu pelakor jagat raya mana lonte ya gak malu yg ngerasa lonte tolong malu dikit
47.0,-1,mahhhh temu buah ranum buah busuk dah tau yg busuk yg manah mentok mah gitu aja kalo pelakor
48.0,-1,ah manda mah gatel ga liyat cowo dikit lgsg sosor begok aje yg ama manda kegatelan cewe
49.0,-1,si amanda muka tante umur tp muka boros banget dasar cabe jujur gua mah kgk suka ama ni haltis
50.0,-1,astagah demen ama cewek dekil mel nagita turun att nagita kaya emas att kaya barlen
51.0,-1,alah laki laki jaman skrg sm aja bejat ustad kek kek gila bgt sm perempuan yg istri stju bgt sm yg blg ustazah username msuk surga bkan krna poligami msh bnyk yg bs jd akhlak bs masuk surga yaa smoga aja sih perempuan perempuan pelakor luar sna azab yg gak ampun hidup gk selamat dunia akhirat
52.0,-1,gilaaaaa pelakor bnget laki gatal alas poligam woiii mikir pake otak haduh pikir org pintar tau agama buruk allah uji setia nafsu eh kaya gtu sakit istri sja tutup pintu rejekimu anak istri kau korban sbg seorg imam keluarga gagal mmpertahankan rmh tangga coreng nama nya sndiri smua org suka skrg benci m
53.0,-1,biasa kalo pelakor lbh ancur muka istri sah barang bagus cepat laku pelakor jelek nggak laku ngembat laki orang ya udah gatel cocok wes username
54.0,-1,ilfil deh sm ni ertong captionig story nya ngomongin org mlu org jd ambigu nilai si a si b si c udah gt kaya zholimi salahinnya lawan jgn ngmg status ah nya dewasa
