Date,Username,Tweet,label
2023-03-07 02:32:59+00:00,handrisontea,eh tololliat peta depo anada tuh,-1
2023-03-07 02:32:59+00:00,baserealnews,iya kawasan bahaya pertamina masyarakat relokasi,-1
2023-03-07 02:32:59+00:00,NoviRoose,ganjar belasungkawa jadi bakar depo pertamina plumlang ganjarbuatrimakinkuatmaju,0
2023-03-07 02:32:58+00:00,Adi_Interisti89,gubernur jawa ganjar pranowo duka cita insiden bakar pertamina plumpang ganjarbuatrimakinkuatmaju,0
2023-03-07 02:32:50+00:00,nvroost,ganjar belasungkawa jadi bakar depo pertamina plumlang ganjarbuatrimakinkuatmaju,0
2023-03-07 02:32:44+00:00,denikurangajar,info valid berita nya bro pertamina kalah an,-1
2023-03-07 02:32:44+00:00,BSikarda,iya pbnu apresiasi gerak cepat kasad dudung ar tinjau langsung lokasi bakar depo pertamina plumpang jakarta utara tni ad hati rakyat ksad dudung abdurachman,0
2023-03-07 02:32:37+00:00,aicoment,yg ngaco jelasx masyarakat tanah merah menang an gusur pemprov dki jakarta masyarakat tuntut adil menang huda tolong kasih bukti tanah pertamina,-1
2023-03-07 02:32:11+00:00,Rosses1Black,aneh aja klo pertamina milik yg ngalah pindah ,-1
2023-03-07 02:32:02+00:00,prampeakk,bkn hnya propaganda blok tp salah faktor knp bnyak korban andai anies gak kontrak politik yg isi legal lahan illegal yg sengketa dgn pertamina anies relokasi warga tanah merah sprti yg ahok mungki,-1
2023-03-07 02:31:55+00:00,AwangSancaka,korban tinggal karyawan pertamina warga tinggal lokasi depo luar,0
2023-03-07 02:31:43+00:00,musaKSQ,orang elite pertamina kulit muka tebeltebel oiy,-1
2023-03-07 02:31:38+00:00,geloraco,dirut pertamina nicke widyawati kaya rafael alun trisambodo mantan dirjen pajak kemenkeu,0
2023-03-07 02:31:33+00:00,JoshGrobax,wahhaha emang dirut amp komut yg urus daily operation refinery ato tank farm pertamina ,0
2023-03-07 02:31:30+00:00,tulisan_Q,ya resiko terima udah kasih warning klo kawasan bahaya bebal,-1
2023-03-07 02:31:28+00:00,blackwafferroll,ngapain puyeng wkwkwk kadrun,0
2023-03-07 02:31:19+00:00,PineksoRoyi1,kalo biar audit qsse instalasi bisax tragedi yg lokasix,0
2023-03-07 02:31:17+00:00,majorcraftjoe,apresiasi pecat direksi komisaris pertamina x jadi ledak dr fatal usaha minyak,-1
2023-03-07 02:31:14+00:00,Cak_X01,ledak depo pertamina plumpang sisa kerja rumahsalah satu kait mukim masyarakat presiden harap cari solusi,0
2023-03-07 02:30:52+00:00,baca_pesan,perintah sepakat relokasi depo pertamina plumpang,0
2023-03-07 02:30:52+00:00,rondes41,wapres tau lokasi pertamina plumpang tanah merah lapang warga yg dekat garap tanah pertamina,0
2023-03-07 02:30:25+00:00,fans555_Berat,warga ngak mikircuma modal ngebacot doangjelas status situ jelasmalah nyuruh pertamina pindahklo pertamina proses hukumkarna serobot lahan pertamina sakit definisi punyak otak,-1
