Date,Username,Tweet,label
2023-02-15 23:45:11+00:00,NasionalPakin,"dpn pakin menerima buku moderasi beragama karya bapak lukman hakim saifuddin 

dpnpakin
pemudaagamakhonghucuindonesia
moderasiberagama ",1
2023-02-15 23:42:01+00:00,NasionalPakin,"dpn pakin menerima buku moderasi beragama karya bapak lukman hakim saifuddin 

dpnpakin
pemudaagamakhonghucuindonesia
moderasiberagama ",1
2023-02-15 23:24:40+00:00,Kemenag_Maluku,"

haji kemenagri gusmen kemenagmaluku  moderasiberagama yaminkemenagmaluku ",0
2023-02-15 22:38:39+00:00,umi_acuh,kondisi ini diperparah dengan sistem pendidikan sekuler dan arus moderasi beragama âtidak beragama secara kaffah akibatnya generasi tidak mau dekat dengan syariat islam kaffah  karena takut di cap radikal tidak toleran yukgaulsyari generasibutuhislamkaffah,-1
2023-02-15 15:42:59+00:00,bimaskristenri,"salam sahabatreligi
launching seleksi nasional penerimaan mahasiswa baru pmb perguruan tinggi keagamaan kristen negeri tahun  
kemenagri ditjenbimaskristenkemenagri tahuntoleransi moderasiberagama
berakhlak iaknpalangkaraya ",0
2023-02-15 14:48:04+00:00,Inisiatifnews,wapres dorong kampus terlibat penurunan stunting dan penguatan moderasi beragama  ,1
2023-02-15 13:37:17+00:00,bimas_buddha,"ketua sagin bhikkhu khemacaro mahathera hadiri peletakkan batu pertama wihara buddhayana buddhis center kabupaten kabupaten kutai kartanegara rabu  

ditjenbimasbuddha
kemenagri
moderasiberagama ",0
2023-02-15 13:34:40+00:00,bimaskristenri,"salam sahabatreligi
menteri agama ri yaqut cholil qoumas lantik  pejabat eselon ii di lingkungan kementerian agama ri pada rabu  february 
kemenagri ditjenbimaskristenkemenagri tahuntoleransi moderasiberagama
berakhlak ",0
2023-02-15 12:35:20+00:00,bimas_buddha,"bupati kutai kartanegara edi damansyah hadiri peletakkan batu pertama wihara buddhayana buddhis center dan menyambut baik serta mengapresiasi pembangunan wihara budayana rabu 

ditjenbimasbuddha
kemenagri
moderasiberagama ",0
2023-02-15 12:09:55+00:00,bimas_buddha,"hadiri peletakkan batu pertama wihara buddhayana buddhis center kabupaten kabupaten kutai kartanegara dirjen bimas buddha supriyadi menyerahkan bantuan pembangunan sebesar rp  rabu  

ditjenbimasbuddha
kemenagri
moderasiberagama ",0
